#gene	-GlcN01	-GlcN02	-GlcN03	-GlcN04	-GlcN05	-GlcN06	+GlcN01	+GlcN02	+GlcN03	+GlcN04	+GlcN05	+GlcN06
ENSMUSG00000048429	873	650	688	671	685	883	675	927	832	695	610	1142
ENSMUSG00000044148	369	143	245	174	302	160	176	196	215	157	439	327
ENSMUSG00000020812	34	16	15	4	23	5	13	20	15	9	27	38
ENSMUSG00000013974	17	4	12	9	65	5	22	1	4	9	82	13
ENSMUSG00000097101	143	98	147	111	104	99	103	89	121	86	47	146
ENSMUSG00000086818	6	0	2	1	1	1	1	3	1	0	1	4
ENSMUSG00000054091	431	230	301	280	371	292	261	267	319	260	327	424
ENSMUSG00000062760	6	3	4	6	5	3	25	8	0	1	0	5
ENSMUSG00000020284	176	72	143	96	136	102	104	114	107	94	163	158
ENSMUSG00000078572	193	156	225	164	169	197	177	193	152	104	137	239
ENSMUSG00000036027	52	81	157	44	47	34	68	118	6	16	35	81
ENSMUSG00000035372	1324	371	687	441	743	521	303	750	758	252	364	1100
ENSMUSG00000073155	357	389	396	411	401	353	267	438	536	326	249	540
ENSMUSG00000027713	24	8	14	13	17	16	10	12	13	14	13	23
ENSMUSG00000084925	9	2	6	6	11	6	4	6	5	5	10	9
ENSMUSG00000090925	505	48	197	18	188	154	144	177	155	325	149	301
ENSMUSG00000013653	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039339	4	3	0	1	3	2	1	3	4	3	4	2
ENSMUSG00000085042	16	14	6	10	9	6	7	12	7	15	75	12
ENSMUSG00000067297	9	1	4	0	11	3	3	2	3	1	6	10
ENSMUSG00000042041	517	118	212	102	419	150	369	153	971	126	331	317
ENSMUSG00000028407	79	88	100	85	69	75	71	116	57	58	80	117
ENSMUSG00000095620	0	0	1	0	0	0	0	1	1	0	3	0
ENSMUSG00000062376	249	147	199	178	195	151	225	221	206	128	168	298
ENSMUSG00000042233	19	14	27	12	22	13	10	17	12	14	36	24
ENSMUSG00000091575	25	10	14	10	33	7	3	4	12	9	38	17
ENSMUSG00000025528	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021290	1313	863	1206	963	905	1101	805	1319	945	916	763	1608
ENSMUSG00000029847	6	0	0	1	2	0	0	0	0	0	2	2
ENSMUSG00000020083	47	20	53	21	33	17	42	27	54	20	25	54
ENSMUSG00000029384	1	2	2	1	1	1	1	2	2	3	1	0
ENSMUSG00000063522	11	2	6	15	11	3	8	7	1	6	9	2
ENSMUSG00000021458	211	118	147	140	185	224	166	197	228	182	126	258
